Name,Peak CCU,Price,Reviews,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Categories,Genres,Tags
Gravity Well,0,0.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Family Sharing","Action,Indie",
BifrÃ¶st: Through the Realms,0,0,,0,0,0,0,0,0,Single-player,"Action,Adventure,Indie",
The End of an Actress,0,9.99,,0,0,0,0,5,0,"Single-player,Steam Achievements,Family Sharing",Indie,
Logic - Electrons Connect,0,1.99,,0,0,0,0,6,0,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Indie",
Zopa,0,0.99,,0,0,0,0,5,0,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Casual,Indie,RPG",
Kunoichi Botan,0,14.99,,0,0,0,0,30,454,"Single-player,Steam Cloud,Family Sharing","Indie,RPG",
Aluna: Sentinel of the Shards,0,9.99,,0,0,0,0,27,0,"Single-player,Full controller support,Family Sharing","Action,Adventure,Indie,RPG",
Kitten Tales,0,9.99,,0,0,0,0,8,0,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Partial Controller Support,Family Sharing","Adventure,Indie,Racing",
Exterminate the world - ç­ä¸–VR,0,5.99,,0,0,0,0,0,0,"Single-player,Tracked Controller Support,VR Only,Family Sharing","Violent,Gore,Action,Casual,RPG",
Final Assault,0,9.99,"â€œFinal Assault â€“ War Is Hellâ€¦Ishly Good Fun Hours and hours of high-quality entertainment.â€ 4/5 â€“ VRFocus â€œFinal Assault is such an incredibly addictive game that youâ€™ll find you canâ€™t stop playing it, months and months after you first install it.â€ FORBES Magazine â€œFinal Assault is a legitimate opportunity for compelling competitive VRâ€ DailyEsports",0,0,0,0,87,390,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Tracked Controller Support,VR Only,Stats,Steam Leaderboards,Steam Turn Notifications,Family Sharing",Strategy,
This Game Might Improve Your Memory,0,0,,0,0,0,0,0,0,Single-player,"Adventure,Indie,Simulation",
Ecstasy Elf Shotenken -Naruru's Sexy Adventure-,0,3.99,,0,0,0,0,0,0,"Single-player,Full controller support,Steam Cloud,Family Sharing","Action,RPG",
TROUBLESHOOTER: Abandoned Children,0,24.99,,0,0,0,0,263,8301,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing","Casual,Indie,RPG,Strategy",
Atlantic Quest 2 - New Adventure -,0,8.99,,0,0,0,0,18,0,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",Casual,
DashboardX,0,3.99,,0,0,0,0,0,0,,"Utilities,Early Access",
Twelve Minutes,0,24.99,â€œas expertly crafted as a Swiss watchâ€ 9/10 â€“ GameSpot â€œa compelling bit of unconventional storytelling that could only have worked as a gameâ€ 8/10 â€“ IGN â€œan engrossing experience that marries noir sensibilities and puzzle gameplay into a dense Freudian nightmare.â€ 4/5 â€“ The Guardian,76,0,0,0,12,6528,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Indie",
MermaidVR Video Player,0,0,,0,0,0,0,0,0,"Tracked Controller Support,VR Only,Partial Controller Support","Utilities,Video Production",
OUMUAMUA,0,4.99,,0,0,0,0,0,0,"Single-player,Partial Controller Support,Steam Cloud,Family Sharing","Action,Casual",
Torn,0,29.99,,74,0,0,0,25,167,"Single-player,Steam Achievements,Tracked Controller Support,VR Only,Steam Trading Cards,Steam Cloud,Family Sharing",Adventure,
